,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
182,Amtech Investment Casting Private Limited.,"Survey No. 238, Behind Vikas Exports Gondal Road, Village-, Kothariya, Rajkot, Gujarat 360002, India",http://www.amtechcast.com/,919726895768,NA,US UK Germany France Italy Portugal Spain Argentina Belgium Australia Japan Mexico,180 mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Robotics,Consumer Goods,Hardware Startups,Electrical & Electronics","Investment Casting,Gravity Die Casting",NA,ISO 9000,Manual,NA,NA,NA,Yes,Yes,Yes,180,60,8,3,6,Yes,NA,NA,NA,Harsh,Marketing Head,harsh@amtechcast.com,9726895768,,,,,,
183,SAI SPRINGS,"Sai Springs, No. 270/1, Bhaanu Nursing Home Road, Bommanahalli, Bengaluru, Karnataka 560068, India",http://www.saisprings.in/,919008004409,NA,India,40 Mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,8040 sqft,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,"12 Unskilled, 12 Skilled & 6 Staffs",NA,NA,MOHAN,Director,mohanbabu@saisprings.in,9008004409,,,,,,
184,Bangalore spring Industries,"No 1/1 Roshanbaugh Road Next left cross to Nandhini hotel, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India",http://www.bangaloresprings.com/,919341908680,Bosch group of companies Amphinol Bill forge JSW steel limited BEML L&T Proman Infrastructure HAL Havells India Tenova Delkor India Jindal power and steel Ltd Sansera Engineering Mahindra CIE ( Bill Forge) Nextfirst Engineering Amphinol engineering,India,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,Sandeep,MD,info@bangaloresprings.com,9986649272,,,,,,
185,TAYSONS INDUSTRIES PVT LTD,"Block No. D-13, MIDC Industrial Area, Miraj, Maharashtra 416410, India",http://www.taysonsindustries.com/,918459614102,,,,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,,,,,,,,,,,,,,Heman,Executive Director,heman.taysheti@taysonsindustries.com,9423872360,Vijay,Markting Rep,development@taysonsindustries.com,8459614102,,
186,Emerson Forge Pvt Ltd,"Survey No. 269, P1/P2,, Shapar (Veraval), Dist. Rajkot, Gujrat (India), Shapar, Gujarat 360024, India",https://www.emersonforge.in/,919825171101,Domestic Customer â€¢ Dy Power India Pvt Ltd â€¢ Tirth Agro Technology Pvt Ltd Shaktiman â€¢ Jost India Auto Components Pvt Ltd â€¢ Dantal Hydraulics Pvt Ltd â€¢ Mosdorfer India Pvt Ltd â€¢ PMP Drive System India Pvt Ltd â€¢ Sanjeev Auto Part Manufacturers Pvt.Ltd. â€¢ Rothe Erde India Pvt Ltd Thyssenkrupp Group âž¢ List Of Customer Overseas Customer â€¢ Alo AB - Sweden â€¢ Fahrzeugwerk B. Krone GmbH & Co â€“ Germany â€¢ Bailey Manufacturing LP â€“ USA â€¢ Kee Safety Far East Limited â€“ UK â€¢ Gunderson Inc â€“ USA â€¢ Motovario SPA â€“ Italy â€¢ Hema EndÃ¼stri - Turkey,"India, Sweden, Germany, USA, UK, Turkey, Italy",4000 Lac INR,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Railways","Hot Forging,CNC Machining",NA,"ISO 9001,IATF 16949","Manual,Hardness Tester",NA,NA,5059 Sqm,Yes,Yes,Yes,600,60,8,3,6,Yes,90+ Employees,NA,NA,Rakesh,Marketing Manager,info@emersonforge.in,9825171101,,,,,,
187,Sneha Springs Industries,"Pai Layout, Hulimavu, Bengaluru, Karnataka 560076, India",https://www.snehasprings.com/,918867744461,"Teknic Elecromeconics Pvt Ltd., Lee spring Pvt Ltd VR Engineering Excel Metals VEM Technologies Pvt Ltd., EMKA Panel Accessories AO SMITH Adarsh Engineering Neoteric Precitech Pvt Ltd., FAB RITE Engineering Prashant Gamatex Pvt Ltd.,",India,NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
188,Ghanshyam Industries,"Virani Aghat Plot No. 61, Dhebar Road South, Pragati, Society Main Rd, Kotharoya, Bhakti Nagar, Rajkot, Gujarat 360002, India",www.ghanshyamindustries.com,919128825609,NA,"USA, Germany, UK, Poland, Australia, Denmark, Netherland, France and many more",7 Cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Brass,CNC Machining: Copper",ISO 9001,Manual,"1. Quality Policy 2. Quality Objectives 3. Responsibilities 4. Customer Feedback 5. Information to external providers 6. Product Information 7. Inquiry, Order, Amendments 8. Action taken for customer complaints",5S,"10,000 sq ft",Yes,Yes,Yes,NA,70,8,2,6,NA,25,4,2,Chirag,Head – Business Operations,chirag@ghanshyamindustries.com,9962749984,,,,,,
189,Peenya Fine Comp,"No 47-55/9-13, 13th A cross Raghavendra Industrial Estate, Karihobanahalli, Thigalarapalya Main Rd, near Shiva Bar, Annapurneshwari Nagar, Vaddarapalya, Ragavendra Industrial Estate, Bengaluru, Karnataka 560058, India",www.peenyafinecomp.co.in,918028360139,"Whirlpool, SKF, Saint-Gobain, GE, etc.",India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics,Aerospace","Sheet Metal Stamping,Welding",NA,"ISO 9001,ISO 15085-1",Manual,NA,"5S, Kaizen",NA,Yes,Yes,Yes,400,70,8,3,6,NA,150+ Employees,NA,NA,Asim,Director-Operations,asim.waheed@peenyafinecomp.co.in,9916364601,,,,,,
190,CHOUGULE INDUSTRIES,"F-6, M I D C, Shiroli, Shiroli, MIDC, Kolhapur, Maharashtra 416122, India",https://www.chouguleindustries.com,910230246871,"Gammon India group ( Freyssinet), Strong Force & Dynamic prestress Construction / Infrastructure industries as well as INDIAN RAILWAYS / TAFE Mahindra and Export .to UK and other European Countries.","India, Europe, Etc",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways","Sand Casting,CNC Machining",NA,ISO 9001,"Manual,CMM",NA,"5 S, 3M,TPM","60,000 sq ft",Yes,Yes,Yes,600,60,8,3,6,Yes,NA,NA,NA,Mantosh,Marketing Rrp,amtiwari@chouguleindustries.com,9370770794,,,,,,
191,Nivic Technocast,"Survey No.171/1, Plot No.15 & 16, Shapar, Rajkot, SIDC Rd, Near Santidham Society, Veraval, Gujarat 360024, India",https://nivictechnocast.com/,912827252604,NA,USA UK Canada Netherland Malaysia UAE Denmark Finland Australia Germany Switzerland Italy France Spain Japan Turkey Brazil Mexico Norway Poland,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Investment Casting,NA,"ISO 9001,IATF 16949","Manual,Profile Projector,Hardness Tester,Roughness Tester,VMS",NA,NA,2600 Sq. Meters,Yes,Yes,Yes,100,60,8,2,6,Yes,NA,NA,NA,Jagdish,Marketing Manager,jagdish@nivictechnocast.com,9825923725,,,,,,
192,Yashoda Iron Industries,"2/3, M I D C, Shiroli, Shiroli, MIDC, Kolhapur, Maharashtra 416122, India",www.yashodairon.com,912302468709,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways,Hardware Startups","Sand Casting,CNC Machining",NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
193,DABIR PRECITECH PRIVATE LIMITED,"F-60, Engineering Zone, Anand Nagar, Industrial Area, Ambernath, Maharashtra E) - 421506, India",https://www.dabirprecitech.com/,919892968290,NA,"India, Europe, Etc.",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics","Investment Casting,CNC Machining",NA,"ISO 9001,ISO 13485","Manual,CMM",NA,NA,26000 Sq. Ft.,Yes,Yes,Yes,100,60,8,2,6,Yes,250+ Employees,NA,NA,Anand,Marketing Manager,dabir.precitech@rediffmail.com,9892968290,,,,,,
194,Daksh Tools & Appliances Pvt. Ltd,"55, Udyog Vihar, Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://www.dakshtools.com,910124400436,NA,"India, Europe, Etc",NA,"Automotive,Electrical & Electronics,Hardware Startups,Robotics,Consumer Goods,Machinery & Equipments",Sheet Metal Stamping,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,50+ Employees,NA,NA,Parag,Director,parag@dakshtools.com,9810121992,,,,,,
195,Formtech Solutions,NA,https://formtech.org.in/,919003131569,"Hyundai, Daimler, M/S.MSGI AUTOMOTIVE PVT LTD M/S. MSI AUTOMOTIVE PVT LTD",India,NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics","Laser Cutting,Welding,Sheet Metal Stamping,Sheet Metal Bending,Sheet Metal Fabrication","Laser Cutting: Steel,Laser Cutting: Aluminium,Laser Cutting: Brass,Laser Cutting: Copper",ISO 9001,Manual,"Control Plan(CP) Production part approval process(PPAP) Inspection standard, Deviation report","3C, 5S & FIFO",5000 sq ft,Yes,Yes,Yes,NA,70,12,Yes,6,NA,25 + Employees,NA,NA,Rajamani,Partner,formtechsales@gmail.com,9003131569,SELVAM,Partner,selvamthangaraj87@gmail.com,7305056602,,
196,MSA Metal Stamping Automotive Pvt Ltd.,"204, Sri Meenakshi Amman Nagar Irungattukottai, Sriperumbudur, Tamil Nadu 602105, India",https://metalstampingautomotive.in/,919500028033,"Ford, Hyundai, Renault, Nissan, Hwashin Automotive India Pvt. Ltd, Dong Sung Automotive India Pvt. Ltd, etc.",India,5000 Lakhs,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Sheet Metal Stamping,Welding",NA,IATF 16949,Manual,NA,NA,"20,000 sq ft",Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Arasu,Managing Director,msa_chennai@yahoo.in,9500028033,,,,,,
197,PROTON METALCRAFTS PVT.LTD.,"Plot No-26,27, 28, Tiny ind. Co-Op Estate Ltd, Kondhwa Budnak, Tyni Audyogic Wasahat, Kondhwa, Pune, Maharashtra 411048, India",https://www.protonmetalcrafts.com/,919970098333,"Kirloskar, Bharath Forge, Godrej, Piaggio, etc","India, Sweden, Germany, USA, etc.",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,CNC Machining: Plastics","ISO 9001,AS 9100","CMM,Manual",NA,NA,18000 sq ft,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,Vivek,Director,viveklupane@protonmetalcrafts.com,9970098333,,,,,,
198,Sunrise Technologies,"A367, 6th Main, 7th Cross Rd, Peenya 1st Stage, Netaji Nagar, Peenya, Bengaluru, Karnataka 560058, India",http://sunrisegrp.com/,918032323466,"John Crane, BFW, DMG Moori, TEREX, etc",India & Germany,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,Manual,Manufacturing facility is supported by the customized ERP software This soft ware provides control over the areas. Technology Manufacturing facility is supported by the customized ERP software This soft ware provides control over the areas. ïƒ¼ Budgeting ïƒ¼ Sales ïƒ¼ Production ïƒ¼ Materials Management ïƒ¼ Stores ïƒ¼ Subcontracting ïƒ¼ HR ïƒ¼ Accounts.,NA,NA,Yes,Yes,Yes,NA,70,8,2,6,NA,NA,NA,NA,Ramesha,Proprietor,ramesh@sunrisegrp.com,9198800502,,,,,,
199,Heatech Engineers,Kanchipuram,,,,,,"Automotive, Hydraulic End Fittings, General Engineering",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Bansal Precision Forge,Bangalore Urban,,,,,,"Automotive, Defense, Agriculture, Capital Equipments",Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Naetek Ferrocast,Shimoga,,,,,,"Pumps and Valves, Heavy Diesel Engine, Material Handling, Hydraulic & Compressor Equipments, Earth Moving, General Engineering, Refrigeration, Power generation",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Naetek Ferrocast Machining,Shimoga,,,,,,"Valves & Pumps, Hydraulic & Compressor, Earth Moving, General Engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Precision Engineering,Tiruvallur,,,,,,"OEMs, Automobile",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,AGN Electro Coats,Bangalore Urban,,,,,,"Electrical & Electronics, Automotive",Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,M G Enterprises,Bangalore Urban,,,,,,"Aircraft, Aerospace, Defense Hardware, Electronics, Automotive",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Glow Flow,Chennai,,,,,,"Valves, Railways, Jigs & Fixture",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Inder Enterprises,Ghaziabad,,,,,,"Railways & Defense, Plant & Machinery, Steel Mill Manufacturing, Die and Molds, Jigs & Fixture, Machine Tools, Printing and Packaging Machinery, Industrial Transmission",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Indore CNC,Dhar,,,,,,"Automobile, Railways, Energy, Defence",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,New Tech Solutions,Pune,,,,,,"Casting, Press Tools, Jigs & Fixtures",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Nitin Casting,Thane,,,,,,"Fertilizers, Chemical, Mining, Refinery & Petrochemical, Chemical Industries, Valve & Pumps, Defence, Surgical Instruments, Marine, Automotive, Aerospace, General Engineering","Sand Casting, Centrifugal Casting, Shell Moulding, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Real Tech Engineering,Rajkot,,,,,,,"CNC Machining, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Shree Shakti Heat Treaters,Bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Sivas S&S Products,Kadambathur,,,,,,"Valves & Pumps, Automobile, Agriculture, General Engineering, Aerospace, Surgical Components, Defence Industries",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,SRI MOOGAMBIKAI PRECISION PRODUCTS,Chennai,,,,,,"General Engineering, Jigs & Fixture",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Surasa Engineering,Pimpri-Chinchwad,,,,,,"Jigs & Fixture, Oil & Gas, Automobile, General Engineering, Aerospace, Defense",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,KAPEEL ENTERPRISE,Belagavi,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Atul Technocast Pvt Ltd.,Junagadh,,,,,,,"Sand Casting, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Arise Precision Casting,Rajkot,,,,,,"Automotive, Valves & Pumps, General Engineering, Mining, Steel, Power & Energy, Aerospace, Railways, Defence, Boiler, Construction Equipment, Earth Moving",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Sagar Ferex,Rajkot,,,,,,"Agricultural Equipment, Automotive, Gear Box, Valves & Pumps, Railways, Construction Equipment, General Engineering, Electrical",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Kevin Industries,Rajkot,,,,,,Oil Engine,Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,HH Precision Casting,Rajkot,,,,,,"Valves & Pumps, Automotive, General Engineering, Refrigeration","Investment Casting, Sand Casting, Die Casting, Centrifugal Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Raj Precision Industries,Rajkot,,,,,,"Automotive, Construction Equipment, Valves & Pumps",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Shivya Forge,Banaskantha,,,,,,"Automotive, Gear Box, Valves & Pumps, Steel, Oil & Gas, Power","Open Die Forging, Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Acme Forging,Rajkot,,,,,,"Electrical, Defence",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Jagdambay Forgings,Ludhiana,,,,,,"Agricultural Equipment, Railways, Automotive","Open Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Singla Forging Pvt Ltd,Rohtak,,,,,,Automotive,"Cold Forging, Open Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,AL-FAIZA Forging and Engineering works,Thane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MPH Precision Castings Pvt Ltd,Mehsana,,,,,,"Valves & Pumps, General Engineering, Aerospace, Automotive, Chemical Industries, Food Processing, Pharma, Textile",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Spectra Cast Pvt Ltd,Vajdi,,,,,,Valves & Pumps,Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Creative Castings Ltd,Junagadh,,,,,,"Valves & Pumps, Fire & Safety, Food Processing, Flow & Process Control",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Pentagon Forge & Machine Ltd,Rajkot,,,,,,"Oil & Gas, Infrastructure & Mining, Automotive",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Surendra Forgings Pvt Ltd,"Thane, Chakan",,,,,,"Automotive, Petrochemical, Earth Moving, Farm Equipment","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Innox Precision Pvt Ltd,Lothada,,,,,,"Automotive, Aerospace, Agricultural Equipment, Hydraulic Equipment, Material Handing, Oil & Gas, Railways, Valves & Pumps",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Primeseal Precision Cast Pvt Ltd,Rajkot,,,,,,"Agricultural Equipment, Automotive, Valves & Pumps",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Advance Technoforge Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Infinity Cast,Rajkot,,,,,,"Automotive, Gas Turbines, Aerospace, Oil & Gas, Valves & Pumps, Power , Textile, Railways",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Noble Cast Comp Pvt Ltd,Pune,,,,,,"Automobile, Power , Pump, Construction","Die Casting, Gravity Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Ratna Udyog,Kolhapur,,,,,,"Automotive, Hydraulic Valve, Valves & Pumps, Power & Energy",Shell Moulding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Advisha Dye Cast Industries Pvt Ltd,Alate,,,,,,"Automotive, Agricultural Equipment",Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,KEMS Forging Ltd,Bangalore Urban,,,,,,"Automotive, Hydraulics, Earth Moving, Oil & Gas, Defence, Railways, Energy","Open Die Forging, Ring Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,P.C. Sons Castings Private Limited,Coimbatore,,,,,,"Automotive, Hydraulic Valve, Construction Equipment, Valves & Pumps, Transmission, Wind Mill, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Trinity India Forgetech,Pune,,,,,,"Aerospace, Automotive, Infrastructure & Mining, Nuclear",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Emerson Forge Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Lawa Fasteners Pvt. Ltd.,Pune,,,,,,"Construction Equipment, Automotive, Earth Moving",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Perfect Group,Ludhiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Victory Precisions Pvt. Ltd.,Pune,,,,,,"Automotive, Power & Energy",Gravity Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Ghanshyam Industries,,,,,,,"Automotive, Electrical & Electronics, Marine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Marcus Hi-Tech Engineering Pvt Ltd,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Rajashri Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,VIRAJ TECHNOCAST PVT. LTD.,Rajkot,,,,,,"Valves & Pumps, Marine, Earth Moving, Oil & Gas, Construction Equipment",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Uni Abex Alloy Products Limited,Dharwad,,,,,,"Steel, Petrochemical","Centrifugal Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Sanjivani casting Pvt. Ltd,Rajkot,,,,,,"Oil & Gas, Valves & Pumps, General Engineering, Food Processing","Investment Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Global Metal Forgings Ltd,Palghar,,,,,,"Oil & Gas, Railways, Defence, Marine, Automotive",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Nikita International Metal Solutions,Ghaziabad,,,,,,"Automotive, Construction Equipment","Sheet Metal Stamping, Deep Drawing",,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,BK TECH ENTERPRISE INC.,Rajkot,,,,,,,"Investment Casting, Sand Casting, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Shailesh Forging Works,Ravki,,,,,,"Automotive, Valves & Pumps","Ring Forging, Open Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Millennium Forging Pvt Ltd,,,,,,,"Automotive, Oil Field, Valves & Pumps, Transmission, Earth Moving, Mining, General Engineering","Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Phoenix Forge Pvt Ltd,Yeladadalu,,,,,,"Commercial Vehicles, Tillers & Tractors, Engines, Earth Moving, Conveyors, Hydraulics, Defense",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Inshape Precision Component Pvt. Ltd,Rajkot,,,,,,"Valves & Pumps, General Engineering, Agriculture Machinery Parts, Aerospace, Defence, Marine Engineering, Instrumentation, Automotive, Industrial Pipe Fittings, Refinery, Chemical Industries, Pharmaceutical, Construction, Paper and Pulp Industries","Open Die Forging, Closed Die Forging, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Simon Steel (India),Mumbai,,,,,,"Chemical Industries, Petrochemical, Refinery, Fertilizers, Power PLant, Nuclear Power, Oil & Gas, Paper, Breweries, Cement, Sugar",Ring Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Prayag Precitech,Ahmedabad,,,,,,"Oil & Gas, Valves & Pumps, Food & Beverages, Textile, Medical Equipment, Plastic Machinery, Hose Pipe Manufacturer, General Engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Quality Auto Components Pvt.Ltd.,Pune,,,,,,"Oil & Gas, Dairy, Agriculture, Engineering, Automobile, Printing Machinery",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Lion Industries,Ludhiana,,,,,,"Automotive, Agricultural Equipment, Lawn & Garden, Fluid Power, Oil & Gas","CNC Machining, Hot Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Vipul Brass Industries,Jamnagar,,,,,,"Automotive, Energy, Electronic, Earthing & Grounding, Petroleum, Aerospace, Defence, Marine, Gas, Plumbing, Medical Equipment, Agricultural, Watch, Hardware & Sanitary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,TIRUPATI FORGE LIMITED,Rajkot,,,,,,"Automotive, Oil & Gas, Power, Aerospace, Rail, Marine, Construction & Mining",Ring Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,G.S.B. FORGE PVT. LTD.,Ranga Reddy,,,,,,"Commercial Vehicles, Diesel Engine, Construction Equipment, Earth Moving, Oil Field, General Engineering",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Goodluck Engineering Co.,Ghaziabad,,,,,,"Oil & Gas, Energy & Marine, Defence & Railways, Defence, Railways, Plant & Machinery, Automobile, Construction Equipment, Earth Moving, Fertilizers, General Engineering, Heat Exchanger, Nuclear Power, Petrochemical, Pressure Vessels, Valves, Wind Engergy, Automotive, Aerospace, Defense, Oil & Gas, Railways, Hydraulic Valve, Wind Mill, General Engineering, Construction Equipment, Petrochemical, Fertilizers, Heat Exchanger, Nuclear Power, Pressure Vessel, Thermal Power","Ring Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Sivaramakrishna Forgings Pvt Ltd.,Kanchipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,SACHIN FORGE,Pune,,,,,,"Oil & Gas, Automotive, Defense",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Accurate Steel Forgings (INDIA) Limited,Tiruvallur,,,,,,"Automotive, Valves & Pumps, Hydraulic, Agricultural Equipment, Elevator",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,RACHAMALLU FORGINGS (P) LTD,Hyderabad,,,,,,"Defence, Aerospace, Power Transmission, Heavy & Medium Engineering",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Harihar Alloys Private Limited,Tiruchirappalli,,,,,,"Valves, Oil Field, Earth Moving, General Engineering, Railway, Marine Applications, Manifold Fittings, Valves, Oil Field, Earth Moving, General Engineering, Railway, Marine Applications, Manifold Fittings","Sand Casting, Open Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Birla Precision Technologies Ltd.,"Aurangabad, Nashik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Magna Industries Foundry Division,Kolhapur,,,,,,"Hydraulic Equipment, Emission Gas Recirculation Systems, Power Transmission, Lifts & Conveyers, Automotive",Shell Moulding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
