,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
180,NECCO TOOLS,"No. 9, 1st Street, Loganathan Nagar, Choolaimedu, Kamarajar Nagar, Veerapandi Nagar, Choolaimedu, Chennai, Tamil Nadu 600094, India",http://www.neccotools.com/,9.10442E+11,AUTO-ELECTRICAL INDUSTRY ➢ M/s Lucas TVS Ltd. ➢ M/s INDRAD Auto Components Ltd. ➢ M/s Comstar Automotive ➢ M/s Johnson Electric ➢ M/s IJL Pvt Ltd ➢ M/s Valeo ➢ M/s Bosch ➢ M/s Yahama Motors and electricals ➢ M/s Letrika Roots Ltd ELECTRICAL INDUSTRY( Non Automotive) ➢ M/s GE India Industrial Pvt. Ltd. ➢ M/s Areva Ltd. ➢ M/s Schneider Electric Ltd.,"India, etc",795 L INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Hardware Startups,Robotics,Electrical & Electronics","CNC Machining,Sheet Metal Stamping,Welding,Sheet Metal Fabrication,Sheet Metal Bending","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,CNC Machining: Plastics",ISO/TS 16949,"CMM,Manual",NA,NA,6 Units in chennai,Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Paul,GM,paul@neccotools.com,9381749925,,,,,,
181,PRECISE TECHNOCAST PVT. LTD.,"PLOT NO. G-1931, B/H ALMIGHTY AGRO PRODUCT, ALMIGHTY GATE, METODA TA: LODHIKA, DIST:, GIDC, Rajkot, Gujarat 360021, India",www.precisetechnocast.com ,9.10283E+11,NA,Germany  France  Greece  USA  Czech Republic  UAE  Canada  Taiwan,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups",Investment Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,110,70,8,3,6,NA,NA,NA,NA,Dharmesh,Director,info@precisetechnocast.com,9099917765,,,precisetechno@yahoo.com,,,
182,Amtech Investment Casting Private Limited.,"Survey No. 238, Behind Vikas Exports Gondal Road, Village-, Kothariya, Rajkot, Gujarat 360002, India",http://www.amtechcast.com/,9.19727E+11,NA,US   UK   Germany   France   Italy   Portugal   Spain   Argentina   Belgium   Australia   Japan   Mexico,180 mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Robotics,Consumer Goods,Hardware Startups,Electrical & Electronics","Investment Casting,Gravity Die Casting",NA,ISO 9000,Manual,NA,NA,NA,Yes,Yes,Yes,180,60,8,3,6,Yes,NA,NA,NA,Harsh,Marketing Head,harsh@amtechcast.com,9726895768,,,,,,
183,SAI SPRINGS,"Sai Springs, No. 270/1, Bhaanu Nursing Home Road, Bommanahalli, Bengaluru, Karnataka 560068, India",http://www.saisprings.in/,9.19008E+11,NA,India,40 Mil INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,8040 sqft,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,"12 Unskilled, 12 Skilled & 6 Staffs",NA,NA,MOHAN,Director,"	mohanbabu@saisprings.in",9008004409,,,,,,
184,Bangalore spring Industries,"No 1/1 Roshanbaugh Road Next left cross to Nandhini hotel, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004, India",http://www.bangaloresprings.com/,9.19342E+11,Bosch group of companies Amphinol Bill forge JSW steel limited BEML L&T Proman Infrastructure HAL Havells India Tenova Delkor India Jindal power and steel Ltd Sansera Engineering  Mahindra CIE ( Bill Forge) Nextfirst Engineering Amphinol engineering,India,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,Sandeep,MD,info@bangaloresprings.com,9986649272,,,,,,
185,TAYSONS  INDUSTRIES  PVT  LTD ,"Block No. D-13, MIDC Industrial Area, Miraj, Maharashtra 416410, India",http://www.taysonsindustries.com/,9.1846E+11,,,,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,,,,,,,,,,,,,,Heman,Executive Director,"	heman.taysheti@taysonsindustries.com",9423872360,Vijay,Markting Rep,development@taysonsindustries.com,8459614102,,
186,Emerson Forge Pvt Ltd,"Survey No. 269, P1/P2,, Shapar (Veraval), Dist. Rajkot, Gujrat (India), Shapar, Gujarat 360024, India",https://www.emersonforge.in/,9.19825E+11,Domestic Customer • Dy Power India Pvt Ltd • Tirth Agro Technology Pvt Ltd Shaktiman • Jost India Auto Components Pvt Ltd • Dantal Hydraulics Pvt Ltd • Mosdorfer India Pvt Ltd • PMP Drive System India Pvt Ltd • Sanjeev Auto Part Manufacturers Pvt.Ltd. • Rothe Erde India Pvt Ltd Thyssenkrupp Group ➢ List Of Customer  Overseas Customer • Alo AB - Sweden • Fahrzeugwerk B. Krone GmbH & Co – Germany • Bailey Manufacturing LP – USA • Kee Safety Far East Limited – UK • Gunderson Inc – USA • Motovario SPA – Italy • Hema Endüstri - Turkey,"India, Sweden, Germany, USA, UK, Turkey, Italy",4000 Lac INR,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Railways","Hot Forging,CNC Machining",NA,"ISO 9001,IATF 16949","Manual,Hardness Tester",NA,NA,5059 Sqm,Yes,Yes,Yes,600,60,8,3,6,Yes,90+ Employees,NA,NA,Rakesh,"	Marketing Manager",info@emersonforge.in,9825171101,,,,,,
187,Sneha Springs Industries,"Pai Layout, Hulimavu, Bengaluru, Karnataka 560076, India",https://www.snehasprings.com/,9.18868E+11,"Teknic Elecromeconics Pvt Ltd.,  Lee spring Pvt Ltd  VR Engineering  Excel Metals  VEM Technologies Pvt Ltd.,  EMKA Panel Accessories  AO SMITH  Adarsh Engineering  Neoteric Precitech Pvt Ltd.,  FAB RITE Engineering  Prashant Gamatex Pvt Ltd.,",India,NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
188,Ghanshyam Industries,"Virani Aghat Plot No. 61, Dhebar Road South, Pragati, Society Main Rd, Kotharoya, Bhakti Nagar, Rajkot, Gujarat 360002, India","www.ghanshyamindustries.com	",9.19129E+11,NA,"USA, Germany, UK, Poland, Australia, Denmark, Netherland, France and many more	",7 Cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Brass,CNC Machining: Copper",ISO 9001,Manual,"1. Quality Policy 2. Quality Objectives 3. Responsibilities 4. Customer Feedback 5. Information to external providers 6. Product Information 7. Inquiry, Order, Amendments 8. Action taken for customer complaints	",5S,"10,000 sq ft",Yes,Yes,Yes,NA,70,8,2,6,NA,25,4,2,Chirag,Head � Business Operations,chirag@ghanshyamindustries.com,"9962749984	",,,,,,
189,Peenya Fine Comp,"No 47-55/9-13, 13th A cross Raghavendra Industrial Estate, Karihobanahalli, Thigalarapalya Main Rd, near Shiva Bar, Annapurneshwari Nagar, Vaddarapalya, Ragavendra Industrial Estate, Bengaluru, Karnataka 560058, India",www.peenyafinecomp.co.in,9.18028E+11,"Whirlpool, SKF, Saint-Gobain, GE, etc.",India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics,Aerospace","Sheet Metal Stamping,Welding",NA,"ISO 9001,ISO 15085-1",Manual,NA,"5S, Kaizen",NA,Yes,Yes,Yes,400,70,8,3,6,NA,150+ Employees,NA,NA,Asim,Director-Operations,asim.waheed@peenyafinecomp.co.in,9916364601,,,,,,
190,CHOUGULE INDUSTRIES,"F-6, M I D C, Shiroli, Shiroli, MIDC, Kolhapur, Maharashtra 416122, India",https://www.chouguleindustries.com,9.1023E+11,"Gammon India group ( Freyssinet), Strong Force  & Dynamic prestress   Construction / Infrastructure industries  as well as INDIAN RAILWAYS / TAFE  Mahindra and  Export .to UK  and other European Countries.","India, Europe, Etc",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways","Sand Casting,CNC Machining",NA,ISO 9001,"Manual,CMM",NA," 5 S, 3M,TPM","60,000 sq ft",Yes,Yes,Yes,600,60,8,3,6,Yes,NA,NA,NA,Mantosh,Marketing Rrp,amtiwari@chouguleindustries.com,9370770794,,,,,,
191,Nivic Technocast ,"Survey No.171/1, Plot No.15 & 16, Shapar, Rajkot, SIDC Rd, Near Santidham Society, Veraval, Gujarat 360024, India",https://nivictechnocast.com/,9.12827E+11,NA,USA UK Canada Netherland Malaysia UAE Denmark Finland Australia Germany Switzerland Italy France  Spain Japan Turkey Brazil Mexico Norway Poland,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Healthcare,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics",Investment Casting,NA,"ISO 9001,IATF 16949","Manual,Profile Projector,Hardness Tester,Roughness Tester,VMS",NA,NA, 2600 Sq. Meters,Yes,Yes,Yes,100,60,8,2,6,Yes,NA,NA,NA,Jagdish,Marketing Manager,"	jagdish@nivictechnocast.com",9825923725,,,,,,
192,Yashoda Iron Industries,"2/3, M I D C, Shiroli, Shiroli, MIDC, Kolhapur, Maharashtra 416122, India",www.yashodairon.com,9.12302E+11,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways,Hardware Startups","Sand Casting,CNC Machining",NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
193,DABIR PRECITECH PRIVATE LIMITED,"F-60, Engineering Zone, Anand Nagar, Industrial Area, Ambernath, Maharashtra E) - 421506, India",https://www.dabirprecitech.com/,9.19893E+11,NA,"India, Europe, Etc.",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics","Investment Casting,CNC Machining",NA,"ISO 9001,ISO 13485","Manual,CMM",NA,NA,26000 Sq. Ft.,Yes,Yes,Yes,100,60,8,2,6,Yes,250+ Employees,NA,NA,Anand,Marketing Manager,dabir.precitech@rediffmail.com,9892968290,,,,,,
194,Daksh Tools & Appliances Pvt. Ltd,"55, Udyog Vihar, Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://www.dakshtools.com,9.10124E+11,NA,"India, Europe, Etc",NA,"Automotive,Electrical & Electronics,Hardware Startups,Robotics,Consumer Goods,Machinery & Equipments",Sheet Metal Stamping,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,50+ Employees,NA,NA,Parag,Director,parag@dakshtools.com,9810121992,,,,,,
195,Formtech Solutions,NA,https://formtech.org.in/,9.19003E+11,"Hyundai, Daimler, M/S.MSGI AUTOMOTIVE PVT LTD  M/S. MSI AUTOMOTIVE PVT LTD",India,NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Electrical & Electronics","Laser Cutting,Welding,Sheet Metal Stamping,Sheet Metal Bending,Sheet Metal Fabrication","Laser Cutting: Steel,Laser Cutting: Aluminium,Laser Cutting: Brass,Laser Cutting: Copper",ISO 9001,Manual,"Control Plan(CP)  Production part approval process(PPAP)  Inspection standard, Deviation report ","3C, 5S & FIFO",5000 sq ft,Yes,Yes,Yes,NA,70,12,Yes,6,NA,25 + Employees,NA,NA,Rajamani,Partner,formtechsales@gmail.com,9003131569,SELVAM,Partner,selvamthangaraj87@gmail.com,7305056602,,
196,MSA Metal Stamping Automotive Pvt Ltd.,"204, Sri Meenakshi Amman Nagar Irungattukottai, Sriperumbudur, Tamil Nadu 602105, India",https://metalstampingautomotive.in/,9.195E+11,"Ford, Hyundai, Renault, Nissan, Hwashin Automotive India Pvt. Ltd, Dong Sung Automotive India Pvt. Ltd, etc.",India,5000 Lakhs,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Sheet Metal Stamping,Welding",NA,IATF 16949,Manual,NA,NA,"20,000 sq ft",Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Arasu,Managing Director,msa_chennai@yahoo.in,9500028033,,,,,,
197,PROTON METALCRAFTS PVT.LTD.,"Plot No-26,27, 28, Tiny ind. Co-Op Estate Ltd, Kondhwa Budnak, Tyni Audyogic Wasahat, Kondhwa, Pune, Maharashtra 411048, India",https://www.protonmetalcrafts.com/,9.1997E+11,"Kirloskar, Bharath Forge, Godrej, Piaggio, etc","India, Sweden, Germany, USA, etc.",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper,CNC Machining: Plastics","ISO 9001,AS 9100","CMM,Manual",NA,NA,18000 sq ft,Yes,Yes,Yes,NA,70,NA,NA,NA,NA,NA,NA,NA,Vivek,Director,viveklupane@protonmetalcrafts.com,"9970098333	",,,,,,
198,Sunrise Technologies,"A367, 6th Main, 7th Cross Rd, Peenya 1st Stage, Netaji Nagar, Peenya, Bengaluru, Karnataka 560058, India",http://sunrisegrp.com/,9.18032E+11,"John Crane, BFW, DMG Moori, TEREX, etc",India & Germany,NA,"Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups,Electrical & Electronics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Titanium,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,Manual,Manufacturing facility is supported by the customized ERP software  This soft ware provides control over the areas.  Technology  Manufacturing facility is supported by the customized ERP software  This soft ware provides control over the areas.  Budgeting  Sales  Production  Materials Management   Stores  Subcontracting  HR  Accounts.,NA,NA,Yes,Yes,Yes,NA,70,8,2,6,NA,NA,NA,NA,Ramesha,Proprietor,ramesh@sunrisegrp.com,9198800502,,,,,,
